t_abs,t_rel,stage,substage,cpu_pct,rss_mb,threads,gpu_util_pct,gpu_mem_mb
30838.821039,0.005551,,,0.000,646.578,3,0.000,620.062
30838.821507,0.006018,Preprocessing,Common average reference,0.000,646.578,3,0.000,620.062
30839.023197,0.207708,Preprocessing,Common average reference,29.700,736.973,5,1.000,931.375
30839.063937,0.248449,Preprocessing,Common average reference,24.600,742.293,5,1.000,931.375
30839.064572,0.249083,Preprocessing,High-pass filter,0.000,742.293,5,1.000,931.375
30839.284588,0.469100,Preprocessing,High-pass filter,0.000,743.750,5,0.000,931.375
30839.488030,0.672542,Preprocessing,High-pass filter,0.000,745.055,5,0.000,933.375
30839.674903,0.859414,Preprocessing,High-pass filter,5.400,765.102,5,0.000,981.375
30839.675324,0.859835,Preprocessing,Whitening,0.000,765.102,5,0.000,981.375
30839.688638,0.873150,Preprocessing,Whitening,0.000,765.340,5,0.000,981.375
30839.889286,1.073797,Preprocessing,Whitening,10.000,782.926,5,2.000,1117.375
30840.112846,1.297357,Preprocessing,Whitening,4.500,815.926,5,1.000,1207.375
30840.313582,1.498094,Preprocessing,Whitening,5.000,773.352,5,1.000,1207.375
30840.514280,1.698791,Preprocessing,Whitening,5.000,796.020,5,0.000,1207.375
30840.714942,1.899453,Preprocessing,Whitening,5.000,808.105,5,0.000,1295.375
30840.915590,2.100101,Preprocessing,Whitening,0.000,824.000,5,0.000,1295.375
30841.116221,2.300732,Preprocessing,Whitening,5.000,839.984,5,0.000,1299.375
30841.316919,2.501430,Preprocessing,Whitening,0.000,839.984,5,2.000,1299.375
30841.517537,2.702049,Preprocessing,Whitening,0.000,839.984,5,0.000,1299.375
30841.718125,2.902636,Preprocessing,Whitening,0.000,839.984,5,0.000,1299.375
30841.918751,3.103262,Preprocessing,Whitening,0.000,839.984,5,0.000,1299.375
30842.119379,3.303890,Preprocessing,Whitening,0.000,839.984,5,0.000,1299.375
30842.319993,3.504504,Preprocessing,Whitening,5.000,839.984,5,0.000,1299.375
30842.520495,3.705006,Preprocessing,Whitening,0.000,839.984,5,0.000,1299.375
30842.721395,3.905906,Preprocessing,Whitening,0.000,839.984,5,0.000,1299.375
30842.922339,4.106850,Preprocessing,Whitening,0.000,839.984,5,0.000,1299.375
30843.123229,4.307741,Preprocessing,Whitening,0.000,839.984,5,0.000,1299.375
30843.324156,4.508668,Preprocessing,Whitening,0.000,839.984,5,0.000,1299.375
30843.524947,4.709458,Preprocessing,Whitening,0.000,839.984,5,0.000,1299.375
30843.725583,4.910094,Preprocessing,Whitening,0.000,839.984,5,0.000,1299.375
30843.926205,5.110716,Preprocessing,Whitening,0.000,843.367,5,0.000,1303.375
30844.126820,5.311331,Preprocessing,Whitening,10.000,851.387,5,0.000,1309.375
30844.327473,5.511984,Preprocessing,Whitening,0.000,852.508,5,0.000,1933.375
30844.528079,5.712590,Preprocessing,Whitening,0.000,865.242,5,3.000,2647.375
30844.728707,5.913219,Preprocessing,Whitening,5.000,869.211,5,5.000,2647.375
30844.929358,6.113869,Preprocessing,Whitening,5.000,877.199,5,1.000,2647.375
30845.130014,6.314526,Preprocessing,Whitening,0.000,879.547,5,0.000,2655.375
30845.330773,6.515284,Preprocessing,Whitening,19.900,940.668,5,0.000,2655.375
30845.531443,6.715954,Preprocessing,Whitening,5.000,955.648,5,0.000,2655.375
30845.732091,6.916602,Preprocessing,Whitening,0.000,966.793,5,0.000,2655.375
30845.932741,7.117252,Preprocessing,Whitening,5.000,968.109,5,0.000,2655.375
30846.133381,7.317892,Preprocessing,Whitening,0.000,969.965,5,0.000,2655.375
30846.334018,7.518529,Preprocessing,Whitening,0.000,974.031,5,0.000,2693.375
30846.534711,7.719222,Preprocessing,Whitening,0.000,978.645,5,0.000,2693.375
30846.726272,7.910783,Preprocessing,Whitening,67.900,1001.168,5,0.000,2693.375
30846.726687,7.911199,Preprocessing,Drift correction,0.000,1001.168,5,0.000,2693.375
30846.735398,7.919909,Preprocessing,Drift correction,0.000,1023.402,5,0.000,2693.375
30846.935879,8.120390,Preprocessing,Drift correction,10.000,1006.395,5,49.000,2693.375
30847.136541,8.321052,Preprocessing,Drift correction,5.000,1026.004,5,4.000,2693.375
30847.337145,8.521656,Preprocessing,Drift correction,5.000,1059.781,5,0.000,2693.375
30847.537759,8.722270,Preprocessing,Drift correction,0.000,1062.273,5,0.000,2693.375
30847.738416,8.922928,Preprocessing,Drift correction,5.000,1084.570,5,3.000,2693.375
30847.939083,9.123595,Preprocessing,Drift correction,418.600,1091.277,28,0.000,2693.375
30848.139973,9.324484,Preprocessing,Drift correction,930.900,1091.719,51,0.000,2693.375
30848.340963,9.525474,Preprocessing,Drift correction,1373.200,1093.625,51,0.000,2693.375
30848.541871,9.726382,Preprocessing,Drift correction,323.500,1095.047,74,0.000,2693.375
30848.742829,9.927340,Preprocessing,Drift correction,10.000,1127.762,74,0.000,2693.375
30848.943430,10.127941,Preprocessing,Drift correction,24.900,1178.254,74,0.000,2693.375
30849.144158,10.328670,Preprocessing,Drift correction,24.900,1171.863,75,0.000,2693.375
30849.344843,10.529354,Preprocessing,Drift correction,0.000,1173.812,75,12.000,2695.375
30849.545473,10.729985,Preprocessing,Drift correction,0.000,1177.008,75,0.000,2695.375
30849.746091,10.930602,Preprocessing,Drift correction,5.000,1180.656,75,0.000,2695.375
30849.946680,11.131191,Preprocessing,Drift correction,0.000,1185.793,75,0.000,2695.375
30850.147279,11.331790,Preprocessing,Drift correction,0.000,1188.090,75,0.000,2695.375
30850.347900,11.532411,Preprocessing,Drift correction,0.000,1192.016,75,0.000,2695.375
30850.548546,11.733057,Preprocessing,Drift correction,5.000,1195.461,75,0.000,2695.375
30850.749150,11.933661,Preprocessing,Drift correction,5.000,1219.812,75,0.000,2695.375
30850.949826,12.134338,Preprocessing,Drift correction,15.000,1228.508,75,0.000,2695.375
30851.150451,12.334962,Preprocessing,Drift correction,5.000,1230.613,75,0.000,2695.375
30851.351112,12.535623,Preprocessing,Drift correction,0.000,1233.016,75,0.000,2695.375
30851.551731,12.736242,Preprocessing,Drift correction,5.000,1242.137,75,0.000,4539.375
30851.752526,12.937037,Preprocessing,Drift correction,5.000,1252.105,75,5.000,4541.375
30851.953159,13.137670,Preprocessing,Drift correction,84.700,1261.184,75,1.000,6297.375
30852.154456,13.338967,Preprocessing,Drift correction,79.500,1261.184,75,99.000,6297.375
30852.355112,13.539623,Preprocessing,Drift correction,10.000,1286.668,75,76.000,6297.375
30852.555753,13.740264,Preprocessing,Drift correction,5.000,1310.359,75,0.000,6297.375
30852.756383,13.940894,Preprocessing,Drift correction,29.900,1309.473,75,0.000,6297.375
30852.957135,14.141646,Preprocessing,Drift correction,99.600,1309.473,75,29.000,6297.375
30853.158280,14.342791,Preprocessing,Drift correction,74.600,1329.102,75,65.000,6297.375
30853.365293,14.549804,Preprocessing,Drift correction,62.800,1309.625,75,56.000,6299.375
30853.565936,14.750448,Preprocessing,Drift correction,99.700,1309.625,75,100.000,6299.375
30853.766557,14.951068,Preprocessing,Drift correction,49.800,1310.566,75,37.000,6299.375
30853.967302,15.151813,Preprocessing,Drift correction,94.600,1310.566,75,96.000,6299.375
30854.168003,15.352514,Preprocessing,Drift correction,104.700,1326.730,75,96.000,6299.375
30854.368664,15.553175,Preprocessing,Drift correction,94.700,1313.090,75,84.000,6299.375
30854.569363,15.753874,Preprocessing,Drift correction,99.700,1313.090,75,100.000,6299.375
30854.769950,15.954461,Preprocessing,Drift correction,104.700,1313.238,75,88.000,6299.375
30854.970654,16.155165,Preprocessing,Drift correction,99.600,1313.238,75,100.000,6299.375
30855.171275,16.355786,Preprocessing,Drift correction,99.700,1315.414,75,88.000,6299.375
30855.371962,16.556473,Preprocessing,Drift correction,99.700,1315.414,75,100.000,6299.375
30855.572626,16.757137,Preprocessing,Drift correction,99.700,1315.559,75,89.000,6299.375
30855.773259,16.957770,Preprocessing,Drift correction,99.700,1315.559,75,100.000,6299.375
30855.973875,17.158386,Preprocessing,Drift correction,99.700,1315.742,75,89.000,6299.375
30856.174566,17.359077,Preprocessing,Drift correction,99.600,1315.742,75,100.000,6299.375
30856.375186,17.559697,Preprocessing,Drift correction,99.700,1318.000,75,88.000,6299.375
30856.575883,17.760394,Preprocessing,Drift correction,99.700,1318.000,75,100.000,6299.375
30856.776851,17.961362,Preprocessing,Drift correction,99.500,1318.152,75,89.000,6299.375
30856.977858,18.162369,Preprocessing,Drift correction,104.500,1318.152,75,100.000,6299.375
30857.178835,18.363346,Preprocessing,Drift correction,99.500,1322.191,75,88.000,6299.375
30857.379911,18.564422,Preprocessing,Drift correction,99.500,1322.191,75,100.000,6299.375
30857.581082,18.765593,Preprocessing,Drift correction,104.400,1322.191,75,88.000,6299.375
30857.782177,18.966689,Preprocessing,Drift correction,99.500,1322.191,75,100.000,6299.375
30857.982875,19.167386,Preprocessing,Drift correction,99.600,1324.191,75,88.000,6299.375
30858.183617,19.368128,Preprocessing,Drift correction,99.600,1324.191,75,100.000,6299.375
30858.384343,19.568854,Preprocessing,Drift correction,99.600,1324.191,75,88.000,6299.375
30858.585147,19.769659,Preprocessing,Drift correction,99.600,1324.191,75,100.000,6299.375
30858.785929,19.970440,Preprocessing,Drift correction,99.600,1326.828,75,88.000,6299.375
30858.986676,20.171187,Preprocessing,Drift correction,99.600,1326.828,75,100.000,6299.375
30859.187362,20.371873,Preprocessing,Drift correction,104.600,1328.828,75,88.000,6299.375
30859.388153,20.572664,Preprocessing,Drift correction,99.600,1328.828,75,100.000,6299.375
30859.588840,20.773351,Preprocessing,Drift correction,99.700,1328.828,75,88.000,6299.375
30859.789939,20.974450,Preprocessing,Drift correction,104.400,1328.828,75,100.000,6299.375
30859.990654,21.175165,Preprocessing,Drift correction,99.600,1330.828,75,88.000,6299.375
30860.191414,21.375925,Preprocessing,Drift correction,99.600,1330.828,75,100.000,6299.375
30860.392061,21.576572,Preprocessing,Drift correction,99.600,1330.828,75,88.000,6299.375
30860.592889,21.777400,Preprocessing,Drift correction,99.600,1330.828,75,100.000,6299.375
30860.793667,21.978179,Preprocessing,Drift correction,94.600,1334.828,75,87.000,6299.375
30860.994354,22.178866,Preprocessing,Drift correction,99.700,1334.828,75,100.000,6299.375
30861.195120,22.379631,Preprocessing,Drift correction,104.600,1336.828,75,92.000,6299.375
30861.395992,22.580503,Preprocessing,Drift correction,99.600,1336.828,75,90.000,6299.375
30861.597068,22.781579,Preprocessing,Drift correction,104.400,1336.832,75,100.000,6299.375
30861.798040,22.982551,Preprocessing,Drift correction,99.500,1336.832,75,90.000,6299.375
30861.999158,23.183669,Preprocessing,Drift correction,84.600,1338.855,75,100.000,6299.375
30862.200020,23.384532,Preprocessing,Drift correction,159.300,1339.219,75,9.000,6299.375
30862.401076,23.585587,Preprocessing,Drift correction,54.700,1315.027,75,0.000,6299.375
30862.601716,23.786227,Preprocessing,Drift correction,0.000,1316.734,75,0.000,6299.375
30862.802332,23.986844,Preprocessing,Drift correction,0.000,1316.734,75,0.000,6299.375
30863.002990,24.187502,Preprocessing,Drift correction,5.000,1323.012,75,0.000,6299.375
30863.203587,24.388098,Preprocessing,Drift correction,0.000,1328.496,75,0.000,6299.375
30863.329147,24.513658,Preprocessing,Drift correction,15.900,1329.344,75,0.000,6299.375
30863.399680,24.584192,Template deconvolution,Template learning,0.000,1329.770,75,0.000,6299.375
30863.404199,24.588710,Template deconvolution,Template learning,0.000,1341.559,75,0.000,6299.375
30863.604671,24.789183,Template deconvolution,Template learning,1321.900,1365.723,75,17.000,6299.375
30863.805425,24.989937,Template deconvolution,Template learning,99.600,1365.867,75,47.000,6299.375
30864.006164,25.190675,Template deconvolution,Template learning,99.600,1365.867,75,100.000,6299.375
30864.207667,25.392178,Template deconvolution,Template learning,104.200,1366.922,75,93.000,6301.375
30864.408317,25.592828,Template deconvolution,Template learning,99.700,1366.922,75,100.000,6301.375
30864.608959,25.793470,Template deconvolution,Template learning,99.600,1369.070,75,93.000,6301.375
30864.809770,25.994281,Template deconvolution,Template learning,99.600,1369.070,75,100.000,6301.375
30865.010435,26.194946,Template deconvolution,Template learning,104.600,1369.223,75,94.000,6301.375
30865.211109,26.395620,Template deconvolution,Template learning,99.700,1369.223,75,100.000,6301.375
30865.411729,26.596240,Template deconvolution,Template learning,99.700,1371.441,75,93.000,6301.375
30865.612420,26.796931,Template deconvolution,Template learning,99.600,1371.441,75,100.000,6301.375
30865.813141,26.997652,Template deconvolution,Template learning,99.700,1371.590,75,93.000,6301.375
30866.014122,27.198633,Template deconvolution,Template learning,99.500,1371.590,75,100.000,6301.375
30866.215041,27.399552,Template deconvolution,Template learning,99.500,1373.766,75,93.000,6301.375
30866.416172,27.600683,Template deconvolution,Template learning,99.500,1373.766,75,100.000,6301.375
30866.617221,27.801732,Template deconvolution,Template learning,99.500,1373.910,75,93.000,6301.375
30866.818245,28.002757,Template deconvolution,Template learning,104.500,1373.910,75,100.000,6301.375
30867.019336,28.203847,Template deconvolution,Template learning,99.500,1374.090,75,93.000,6301.375
30867.220076,28.404588,Template deconvolution,Template learning,104.500,1374.090,75,100.000,6301.375
30867.420879,28.605390,Template deconvolution,Template learning,99.700,1376.312,75,93.000,6301.375
30867.621522,28.806033,Template deconvolution,Template learning,99.700,1376.312,75,100.000,6301.375
30867.822167,29.006679,Template deconvolution,Template learning,99.700,1376.465,75,93.000,6301.375
30868.022815,29.207326,Template deconvolution,Template learning,99.700,1376.465,75,100.000,6301.375
30868.223475,29.407986,Template deconvolution,Template learning,99.700,1380.523,75,93.000,6301.375
30868.424134,29.608645,Template deconvolution,Template learning,99.600,1380.523,75,100.000,6301.375
30868.624896,29.809407,Template deconvolution,Template learning,99.700,1380.527,75,93.000,6301.375
30868.825551,30.010063,Template deconvolution,Template learning,99.700,1380.527,75,100.000,6301.375
30869.026424,30.210936,Template deconvolution,Template learning,99.600,1382.527,75,93.000,6301.375
30869.227069,30.411580,Template deconvolution,Template learning,99.700,1382.527,75,100.000,6301.375
30869.427753,30.612265,Template deconvolution,Template learning,99.700,1382.527,75,94.000,6301.375
30869.628436,30.812948,Template deconvolution,Template learning,104.600,1382.527,75,100.000,6301.375
30869.829094,31.013606,Template deconvolution,Template learning,99.700,1384.527,75,93.000,6301.375
30870.029777,31.214288,Template deconvolution,Template learning,99.700,1384.527,75,100.000,6301.375
30870.230434,31.414946,Template deconvolution,Template learning,104.700,1386.527,75,93.000,6301.375
30870.431096,31.615607,Template deconvolution,Template learning,99.700,1386.527,75,100.000,6301.375
30870.631742,31.816253,Template deconvolution,Template learning,99.700,1386.527,75,94.000,6301.375
30870.832795,32.017306,Template deconvolution,Template learning,99.500,1386.527,75,100.000,6301.375
30871.033818,32.218329,Template deconvolution,Template learning,99.500,1388.527,75,93.000,6301.375
30871.234833,32.419344,Template deconvolution,Template learning,99.500,1388.527,75,100.000,6301.375
30871.435835,32.620346,Template deconvolution,Template learning,99.500,1388.527,75,94.000,6301.375
30871.636800,32.821311,Template deconvolution,Template learning,99.500,1388.527,75,100.000,6301.375
30871.837650,33.022161,Template deconvolution,Template learning,99.600,1392.527,75,93.000,6301.375
30872.038347,33.222858,Template deconvolution,Template learning,99.700,1392.527,75,100.000,6301.375
30872.239061,33.423573,Template deconvolution,Template learning,104.600,1392.527,75,93.000,6301.375
30872.439755,33.624266,Template deconvolution,Template learning,99.700,1392.527,75,100.000,6301.375
30872.640494,33.825005,Template deconvolution,Template learning,104.600,1394.531,75,97.000,6301.375
30872.835240,34.019752,Template deconvolution,Template learning,97.600,1359.066,75,100.000,6301.375
30872.836065,34.020577,Graph clustering,First pass,0.000,1359.066,75,100.000,6301.375
30872.841137,34.025648,Graph clustering,First pass,195.800,1359.066,75,100.000,6301.375
30873.041692,34.226203,Graph clustering,First pass,144.600,1362.254,75,40.000,6301.375
30873.242354,34.426866,Graph clustering,First pass,114.600,1362.254,75,0.000,6301.375
30873.443637,34.628148,Graph clustering,First pass,9.900,1392.824,75,0.000,6301.375
30873.644254,34.828766,Graph clustering,First pass,0.000,1397.070,75,0.000,6301.375
30873.849878,35.034390,Graph clustering,First pass,316.100,1412.891,75,0.000,6301.375
30874.050498,35.235010,Graph clustering,First pass,0.000,1413.672,75,0.000,6301.375
30874.251422,35.435933,Graph clustering,First pass,5.000,1436.691,75,0.000,6301.375
30874.452297,35.636808,Graph clustering,First pass,5.000,1449.988,75,0.000,6301.375
30874.653204,35.837716,Graph clustering,First pass,5.000,1469.297,75,0.000,6301.375
30874.854081,36.038592,Graph clustering,First pass,0.000,1481.383,75,0.000,6301.375
30875.054940,36.239451,Graph clustering,First pass,10.000,1512.945,75,0.000,6301.375
30875.255556,36.440068,Graph clustering,First pass,0.000,1520.090,75,0.000,6301.375
30875.474555,36.659066,Graph clustering,First pass,41.100,1601.379,75,0.000,6301.375
30875.675250,36.859761,Graph clustering,First pass,14.900,1604.488,75,12.000,6301.375
